product_id,date,quantity_sold,revenue
P100,2026-03-24,24,720
P100,2026-03-25,28,840
P100,2026-03-26,30,900
P100,2026-03-27,32,960
P100,2026-03-28,35,1050
P100,2026-03-29,33,990
P100,2026-03-30,36,1080
P200,2026-03-24,10,400
P200,2026-03-25,12,480
P200,2026-03-26,11,440
P200,2026-03-27,13,520
P200,2026-03-28,12,480
P200,2026-03-29,14,560
P200,2026-03-30,13,520
P300,2026-03-24,18,630
P300,2026-03-25,17,595
P300,2026-03-26,16,560
P300,2026-03-27,18,630
P300,2026-03-28,19,665
P300,2026-03-29,17,595
P300,2026-03-30,18,630
P400,2026-03-24,9,225
P400,2026-03-25,8,200
P400,2026-03-26,8,200
P400,2026-03-27,7,175
P400,2026-03-28,7,175
P400,2026-03-29,6,150
P400,2026-03-30,6,150
P500,2026-03-24,5,300
P500,2026-03-25,7,420
P500,2026-03-26,9,540
P500,2026-03-27,11,660
P500,2026-03-28,8,480
P500,2026-03-29,7,420
P500,2026-03-30,6,360
